Material,Material Description,SLoc,Quantity,Pstng Date,,,,,,,,,,,,,
111,SCPU,5022,-1,1/22/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5036,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5041,1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5039,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5005,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5005,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5033,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5004,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5042,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5044,-1,1/23/2026,,,,,,,,,,,,,
111,SCPU,5032,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5052,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5008,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5043,1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5039,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5032,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5042,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/24/2026,,,,,,,,,,,,,
111,SCPU,5042,1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5005,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5024,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5024,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5039,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5004,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5036,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/27/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5042,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5005,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5049,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5042,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/28/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/29/2026,,,,,,,,,,,,,
