Material,SLoc,Quantity,Pstng Date,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Equipment,Technician name
102,5010,-1,1/23/2026,,,,,,,,,,,,,
102,5021,-1,1/23/2026,,,,,,,,,,,,,
102,5001,-2,1/23/2026,,,,,,,,,,,,,
102,5030,-1,1/23/2026,,,,,,,,,,,,,
102,5022,-2,1/23/2026,,,,,,,,,,,,,
102,5021,-1,1/23/2026,,,,,,,,,,,,,
102,5021,-1,1/24/2026,,,,,,,,,,,,,
102,5001,-1,1/24/2026,,,,,,,,,,,,,
102,5030,-1,1/24/2026,,,,,,,,,,,,,
102,5023,-1,1/27/2026,,,,,,,,,,,,,
102,5011,-2,1/27/2026,,,,,,,,,,,,,
102,5011,-2,1/27/2026,,,,,,,,,,,,,
102,5001,-1,1/27/2026,,,,,,,,,,,,,
102,5030,-2,1/27/2026,,,,,,,,,,,,,
102,5001,-1,1/27/2026,,,,,,,,,,,,,
102,5041,-1,1/28/2026,,,,,,,,,,,,,
102,5030,-1,1/28/2026,,,,,,,,,,,,,
102,5022,-1,1/28/2026,,,,,,,,,,,,,
102,5042,-2,1/28/2026,,,,,,,,,,,,,
102,5022,-2,1/28/2026,,,,,,,,,,,,,
102,5042,-1,1/29/2026,,,,,,,,,,,,,
102,5021,-1,1/29/2026,,,,,,,,,,,,,
102,5001,-1,1/29/2026,,,,,,,,,,,,,
102,5020,1,1/30/2026,,,,,,,,,,,,,
102,5010,-1,1/30/2026,,,,,,,,,,,,,
102,5010,-1,1/30/2026,,,,,,,,,,,,,
102,5022,-1,1/30/2026,,,,,,,,,,,,,
102,5041,-1,1/30/2026,,,,,,,,,,,,,
102,5030,-1,1/30/2026,,,,,,,,,,,,,
102,5041,-1,1/30/2026,,,,,,,,,,,,,
102,5001,-4,1/31/2026,,,,,,,,,,,,,
102,5046,-1,1/31/2026,,,,,,,,,,,,,
102,5028,1,1/31/2026,,,,,,,,,,,,,
102,5030,-1,2/2/2026,,,,,,,,,,,,,
102,5001,-1,2/2/2026,,,,,,,,,,,,,
102,5023,-2,2/2/2026,,,,,,,,,,,,,
102,5001,-1,2/2/2026,,,,,,,,,,,,,
102,5001,-4,2/2/2026,,,,,,,,,,,,,
102,5001,-2,2/2/2026,,,,,,,,,,,,,
102,5001,-2,2/2/2026,,,,,,,,,,,,,
102,5001,-2,2/2/2026,,,,,,,,,,,,,
102,5011,-2,2/3/2026,,,,,,,,,,,,,
102,5011,-2,2/3/2026,,,,,,,,,,,,,
102,5042,-2,2/3/2026,,,,,,,,,,,,,
102,5001,-2,2/3/2026,,,,,,,,,,,,,
102,5001,-2,2/3/2026,,,,,,,,,,,,,
102,5003,-1,2/4/2026,,,,,,,,,,,,,
102,5030,-1,2/4/2026,,,,,,,,,,,,,
102,5030,-1,2/5/2026,,,,,,,,,,,,,
102,5042,-2,2/6/2026,,,,,,,,,,,,,
102,5023,-1,2/6/2026,,,,,,,,,,,,,
102,5003,-1,2/6/2026,,,,,,,,,,,,,
102,5001,-2,2/9/2026,,,,,,,,,,,,,
102,5023,-1,2/9/2026,,,,,,,,,,,,,
102,5022,-4,2/9/2026,,,,,,,,,,,,,
102,5001,-2,2/9/2026,,,,,,,,,,,,,
102,5022,-1,2/9/2026,,,,,,,,,,,,,
102,5003,-2,2/9/2026,,,,,,,,,,,,,
102,5001,-2,2/9/2026,,,,,,,,,,,,,
102,5030,-1,2/10/2026,,,,,,,,,,,,,
102,5021,-1,2/10/2026,,,,,,,,,,,,,
102,5061,-1,2/10/2026,,,,,,,,,,,,,
102,5061,-1,2/10/2026,,,,,,,,,,,,,
102,5001,-2,2/10/2026,,,,,,,,,,,,,
102,5042,-2,2/10/2026,,,,,,,,,,,,,
102,5021,-1,2/10/2026,,,,,,,,,,,,,
102,5001,-2,2/10/2026,,,,,,,,,,,,,
102,5041,-1,2/10/2026,,,,,,,,,,,,,
102,5041,-1,2/10/2026,,,,,,,,,,,,,
102,5030,-1,2/10/2026,,,,,,,,,,,,,
102,5041,-1,2/10/2026,,,,,,,,,,,,,
102,5001,-5,2/11/2026,,,,,,,,,,,,,
102,5001,-1,2/11/2026,,,,,,,,,,,,,
102,5023,-1,2/11/2026,,,,,,,,,,,,,
102,5021,-1,2/11/2026,,,,,,,,,,,,,
102,5030,-1,2/11/2026,,,,,,,,,,,,,
102,5022,-1,2/12/2026,,,,,,,,,,,,,
102,5041,-1,2/12/2026,,,,,,,,,,,,,
102,5023,-1,2/12/2026,,,,,,,,,,,,,
102,5001,-2,2/12/2026,,,,,,,,,,,,,
102,5022,-1,2/12/2026,,,,,,,,,,,,,
102,5001,-1,2/13/2026,,,,,,,,,,,,,
102,5001,-2,2/13/2026,,,,,,,,,,,,,
102,5001,-4,2/13/2026,,,,,,,,,,,,,
102,5022,-4,2/13/2026,,,,,,,,,,,,,
102,5001,-2,2/13/2026,,,,,,,,,,,,,
102,5030,-1,2/13/2026,,,,,,,,,,,,,
102,5001,-2,2/13/2026,,,,,,,,,,,,,
102,5001,-1,2/13/2026,,,,,,,,,,,,,
102,5023,-1,2/13/2026,,,,,,,,,,,,,
102,5003,-1,2/14/2026,,,,,,,,,,,,,
102,5023,-1,2/14/2026,,,,,,,,,,,,,
102,5022,-1,2/14/2026,,,,,,,,,,,,,
102,5001,-4,2/14/2026,,,,,,,,,,,,,
102,5023,-1,2/16/2026,,,,,,,,,,,,,
102,5001,-1,2/16/2026,,,,,,,,,,,,,
102,5042,-1,2/16/2026,,,,,,,,,,,,,
102,5042,-1,2/16/2026,,,,,,,,,,,,,
102,5022,-1,2/16/2026,,,,,,,,,,,,,
102,5023,-1,2/16/2026,,,,,,,,,,,,,
102,5024,-1,2/16/2026,,,,,,,,,,,,,
102,5003,-2,2/17/2026,,,,,,,,,,,,,
102,5021,-1,2/17/2026,,,,,,,,,,,,,
102,5014,-2,2/17/2026,,,,,,,,,,,,,
102,5001,-1,2/17/2026,,,,,,,,,,,,,
102,5030,-1,2/17/2026,,,,,,,,,,,,,
102,5021,-2,2/18/2026,,,,,,,,,,,,,
102,5021,-2,2/18/2026,,,,,,,,,,,,,
102,5021,-1,2/18/2026,,,,,,,,,,,,,
102,5001,-1,2/18/2026,,,,,,,,,,,,,
102,5021,-1,2/18/2026,,,,,,,,,,,,,
102,5023,-1,2/18/2026,,,,,,,,,,,,,
102,5021,-2,2/18/2026,,,,,,,,,,,,,
102,5001,-5,2/18/2026,,,,,,,,,,,,,
102,5021,-2,2/18/2026,,,,,,,,,,,,,
102,5003,-1,2/18/2026,,,,,,,,,,,,,
102,5024,-1,2/18/2026,,,,,,,,,,,,,
102,5021,-2,2/19/2026,,,,,,,,,,,,,
102,5021,-2,2/19/2026,,,,,,,,,,,,,
102,5042,-1,2/19/2026,,,,,,,,,,,,,
102,5021,-2,2/19/2026,,,,,,,,,,,,,
102,5030,-1,2/19/2026,,,,,,,,,,,,,
102,5030,-1,2/19/2026,,,,,,,,,,,,,
102,5042,-1,2/19/2026,,,,,,,,,,,,,
102,5022,-4,2/20/2026,,,,,,,,,,,,,
102,5001,-4,2/20/2026,,,,,,,,,,,,,
102,5042,-2,2/20/2026,,,,,,,,,,,,,
102,5001,-1,2/20/2026,,,,,,,,,,,,,
102,5001,-2,2/20/2026,,,,,,,,,,,,,
102,5030,-1,2/20/2026,,,,,,,,,,,,,
102,5001,-2,2/20/2026,,,,,,,,,,,,,
102,5001,-4,2/20/2026,,,,,,,,,,,,,
102,5030,-1,2/20/2026,,,,,,,,,,,,,
102,5021,-1,2/21/2026,,,,,,,,,,,,,
102,5041,-1,2/21/2026,,,,,,,,,,,,,
102,5021,-1,2/21/2026,,,,,,,,,,,,,
102,5042,-1,2/23/2026,,,,,,,,,,,,,
102,5042,-1,2/23/2026,,,,,,,,,,,,,
102,5042,-1,2/23/2026,,,,,,,,,,,,,
102,5001,-2,2/23/2026,,,,,,,,,,,,,
102,5042,-1,2/23/2026,,,,,,,,,,,,,
102,5042,-3,2/23/2026,,,,,,,,,,,,,
102,5001,-1,2/23/2026,,,,,,,,,,,,,
102,5001,-1,2/23/2026,,,,,,,,,,,,,
102,5014,-1,2/23/2026,,,,,,,,,,,,,
102,5022,-2,2/23/2026,,,,,,,,,,,,,
